time_ms,neuron_0_voltage,neuron_1_voltage
3.310657596159999372e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.312925169855999030e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.315192743551999399e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.317460317247999058e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.319727890943999427e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.321995464639999085e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.324263038335999454e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.326530612031999112e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.328798185727998771e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.331065759423999140e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.333333333119998798e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.335600906815999167e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.337868480511998825e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.340136054207999905e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.342403627903999563e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.344671201599999222e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.346938775295999591e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.349206348991999249e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.351473922687999618e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.353741496383999277e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.356009070079999645e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.358276643775999304e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.360544217471999673e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.362811791167999331e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.365079364863999700e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.367346938559999359e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.369614512255999017e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.371882085951999386e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.374149659647999044e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.376417233343999413e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.378684807039999072e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.380952380735999441e+01,1.502153903302900773e+00,1.641195519074382325e+00
3.383219954431999099e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.385487528127999468e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.387755101823999127e+01,1.502153903302900773e+00,1.641195519074382325e+00
3.390022675519998785e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.392290249215999154e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.394557822911998812e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.396825396607999181e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.399092970303998840e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.401360543999999209e+01,1.502314726604608408e+00,1.641962852568827902e+00
3.403628117695999578e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.405895691391999236e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.408163265087999605e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.410430838783999263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.412698412479999632e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.414965986175999291e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.417233559871999660e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.419501133567999318e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.421768707263999687e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.424036280959999345e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.426303854655999714e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.428571428351999373e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.430839002047999031e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.433106575743999400e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.435374149439999059e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.437641723135999428e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.439909296831999086e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.442176870527999455e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.444444444223999113e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.446712017919999482e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.448979591615999141e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.451247165311998799e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.453514739007999168e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.455782312703998826e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.458049886399999195e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.460317460095998854e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.462585033791999223e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.464852607487998881e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.467120181183999250e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.469387754879999619e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.471655328575999278e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.473922902271999646e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.476190475967999305e+01,1.431391650546988803e+00,1.303568781496579287e+00
